Time (milliseconds),Input (-12 C),Temp (C)
0,-12,21.78
51,-12,21.78
102,-12,21.78
152,-12,21.78
203,-12,21.29
254,-12,21.78
306,-12,21.29
357,-12,21.29
407,-12,21.29
458,-12,21.29
509,-12,21.29
561,-12,21.29
612,-12,21.29
662,-12,21.78
713,-12,21.29
764,-12,21.29
816,-12,21.29
867,-12,21.78
918,-12,21.78
968,-12,21.29
1019,-12,21.29
1071,-12,21.29
1122,-12,21.78
1173,-12,21.29
1224,-12,20.8
1274,-12,21.29
1326,-12,21.29
1377,-12,21.29
1428,-12,21.29
1479,-12,21.29
1530,-12,21.78
1582,-12,21.78
1632,-12,21.29
1683,-12,21.78
1734,-12,21.29
1785,-12,21.29
1837,-12,21.78
1888,-12,21.29
1939,-12,21.29
1989,-12,21.78
2040,-12,21.78
2092,-12,21.78
2143,-12,21.78
2194,-12,21.29
2245,-12,21.29
2295,-12,21.78
2347,-12,21.29
2398,-12,21.78
2449,-12,21.29
2500,-12,21.29
2551,-12,21.29
2603,-12,21.29
2653,-12,21.29
2704,-12,21.29
2755,-12,21.29
2806,-12,21.29
2857,-12,21.29
2909,-12,21.29
2960,-12,21.29
3010,-12,21.29
3061,-12,21.29
3112,-12,21.78
3164,-12,21.29
3215,-12,21.78
3266,-12,21.78
3317,-12,21.29
3367,-12,21.29
3419,-12,21.78
3470,-12,21.29
3521,-12,21.29
3572,-12,21.29
3623,-12,20.8
3675,-12,20.8
3725,-12,20.8
3776,-12,20.8
3827,-12,20.31
3878,-12,20.8
3930,-12,20.31
3981,-12,20.31
4032,-12,20.31
4082,-12,20.8
4133,-12,20.31
4185,-12,20.31
4236,-12,20.31
4287,-12,19.82
4338,-12,19.82
4389,-12,19.82
4440,-12,19.82
4491,-12,20.31
4542,-12,19.82
4593,-12,19.34
4644,-12,19.82
4696,-12,18.85
4746,-12,19.34
4797,-12,19.34
4848,-12,19.34
4899,-12,19.34
4951,-12,18.85
5002,-12,19.34
5053,-12,19.34
5103,-12,19.34
5154,-12,18.85
5206,-12,18.85
5257,-12,18.85
5308,-12,19.34
5359,-12,18.85
5410,-12,18.85
5460,-12,19.34
5512,-12,18.85
5563,-12,18.85
5614,-12,18.85
5665,-12,19.34
5716,-12,18.85
5768,-12,18.85
5818,-12,18.85
5869,-12,18.36
5920,-12,18.36
5971,-12,18.85
6023,-12,18.85
6074,-12,18.36
6125,-12,19.34
6175,-12,18.85
6226,-12,18.85
6278,-12,18.36
6329,-12,18.85
6380,-12,18.85
6431,-12,18.36
6481,-12,18.36
6533,-12,18.36
6584,-12,17.87
6635,-12,18.36
6686,-12,17.87
6737,-12,16.89
6789,-12,17.38
6839,-12,16.89
6890,-12,16.89
6941,-12,16.89
6992,-12,16.89
