Time (milliseconds),Input,RPM
0,1,0
3,1,96.77419355
8,1,438.7096774
13,1,490.3225806
18,1,541.9354839
23,1,490.3225806
28,1,541.9354839
33,1,541.9354839
38,1,593.5483871
43,1,567.7419355
48,1,567.7419355
53,1,567.7419355
58,1,593.5483871
64,1,494.6236559
68,1,741.9354839
73,1,593.5483871
78,1,670.9677419
83,1,619.3548387
88,1,619.3548387
93,1,619.3548387
98,1,619.3548387
103,1,696.7741935
108,1,619.3548387
113,1,593.5483871
118,1,645.1612903
123,1,619.3548387
128,1,619.3548387
133,1,619.3548387
138,1,593.5483871
143,1,619.3548387
148,1,645.1612903
153,1,645.1612903
158,1,645.1612903
163,1,645.1612903
168,1,645.1612903
173,1,645.1612903
178,1,645.1612903
183,1,645.1612903
188,1,645.1612903
193,1,619.3548387
198,1,645.1612903
203,1,645.1612903
208,1,645.1612903
213,1,670.9677419
218,1,645.1612903
223,1,645.1612903
228,1,670.9677419
233,1,645.1612903
238,1,670.9677419
243,1,645.1612903
248,1,645.1612903
253,1,670.9677419
258,1,645.1612903
263,1,645.1612903
268,1,670.9677419
273,1,645.1612903
278,1,645.1612903
283,1,670.9677419
288,1,645.1612903
293,1,619.3548387
298,1,670.9677419
303,1,645.1612903
308,1,645.1612903
313,1,670.9677419
318,1,645.1612903
323,1,645.1612903
328,1,670.9677419
333,1,670.9677419
338,1,645.1612903
343,1,645.1612903
348,1,670.9677419
353,1,670.9677419
358,1,645.1612903
364,1,559.1397849
368,1,838.7096774
373,1,645.1612903
378,1,645.1612903
383,1,670.9677419
388,1,670.9677419
393,1,645.1612903
398,1,645.1612903
403,1,670.9677419
408,1,670.9677419
413,1,645.1612903
418,1,645.1612903
423,1,670.9677419
428,1,670.9677419
433,1,645.1612903
438,1,619.3548387
443,1,670.9677419
448,1,670.9677419
453,1,645.1612903
458,1,696.7741935
463,1,670.9677419
468,1,670.9677419
473,1,645.1612903
478,1,645.1612903
483,1,670.9677419
488,1,645.1612903
493,1,645.1612903
498,1,645.1612903
503,1,670.9677419
508,1,670.9677419
513,1,645.1612903
518,1,645.1612903
523,1,670.9677419
528,1,670.9677419
534,1,537.6344086
538,1,806.4516129
543,1,722.5806452
548,1,670.9677419
553,1,670.9677419
558,1,645.1612903
563,1,670.9677419
568,1,670.9677419
573,1,670.9677419
578,1,645.1612903
583,1,645.1612903
588,1,670.9677419
593,1,670.9677419
598,1,645.1612903
603,1,645.1612903
608,1,619.3548387
613,1,670.9677419
619,1,559.1397849
623,1,806.4516129
628,1,645.1612903
633,1,670.9677419
638,1,670.9677419
643,1,645.1612903
648,1,645.1612903
653,1,619.3548387
658,1,670.9677419
663,1,670.9677419
668,1,645.1612903
673,1,645.1612903
678,1,670.9677419
683,1,670.9677419
688,1,645.1612903
693,1,645.1612903
698,1,670.9677419
704,1,559.1397849
708,1,838.7096774
713,1,645.1612903
718,1,645.1612903
723,1,670.9677419
728,1,670.9677419
733,1,645.1612903
738,1,645.1612903
743,1,670.9677419
748,1,670.9677419
753,1,670.9677419
758,1,645.1612903
763,1,645.1612903
768,1,670.9677419
773,1,670.9677419
778,1,670.9677419
783,1,645.1612903
788,1,645.1612903
793,1,670.9677419
798,1,670.9677419
803,1,670.9677419
808,1,645.1612903
813,1,645.1612903
818,1,670.9677419
823,1,670.9677419
828,1,645.1612903
833,1,645.1612903
838,1,619.3548387
843,1,670.9677419
848,1,670.9677419
853,1,645.1612903
858,1,645.1612903
863,1,722.5806452
868,1,670.9677419
873,1,670.9677419
878,1,645.1612903
883,1,645.1612903
888,1,670.9677419
893,1,670.9677419
898,1,670.9677419
903,1,645.1612903
908,1,645.1612903
913,1,670.9677419
918,1,670.9677419
923,1,645.1612903
928,1,645.1612903
933,1,619.3548387
938,1,670.9677419
943,1,670.9677419
948,1,645.1612903
953,1,645.1612903
958,1,722.5806452
963,1,670.9677419
968,1,670.9677419
973,1,645.1612903
978,1,619.3548387
983,1,670.9677419
988,1,670.9677419
993,1,645.1612903
998,1,645.1612903
1004,1,602.1505376
