Time,Input,RPM
0,0,0
10,0.337254902,77.41935484
20,0.478431373,77.41935484
30,0.611764706,90.32258065
40,0.733333333,103.2258065
50,0.82745098,141.9354839
60,0.909803922,154.8387097
70,0.968627451,180.6451613
80,1,193.5483871
90,1,219.3548387
100,1,245.1612903
110,1,258.0645161
120,1,270.9677419
130,1,283.8709677
140,0.988235294,309.6774194
150,0.937254902,322.5806452
160,0.878431373,335.483871
170,0.815686275,335.483871
180,0.756862745,335.483871
190,0.694117647,335.483871
200,0.631372549,335.483871
210,0.580392157,322.5806452
220,0.529411765,322.5806452
230,0.478431373,322.5806452
240,0.42745098,322.5806452
250,0.388235294,309.6774194
260,0.356862745,296.7741935
270,0.337254902,283.8709677
280,0.325490196,270.9677419
290,0.325490196,258.0645161
300,0.337254902,245.1612903
310,0.349019608,245.1612903
320,0.376470588,219.3548387
330,0.4,232.2580645
340,0.42745098,219.3548387
350,0.458823529,219.3548387
360,0.490196078,219.3548387
370,0.521568627,219.3548387
380,0.552941176,219.3548387
390,0.580392157,219.3548387
400,0.611764706,219.3548387
410,0.631372549,232.2580645
420,0.650980392,232.2580645
430,0.662745098,245.1612903
440,0.674509804,245.1612903
450,0.682352941,245.1612903
460,0.682352941,258.0645161
470,0.682352941,258.0645161
480,0.682352941,258.0645161
490,0.674509804,270.9677419
500,0.662745098,270.9677419
510,0.650980392,270.9677419
520,0.631372549,283.8709677
530,0.623529412,270.9677419
540,0.603921569,283.8709677
550,0.592156863,270.9677419
560,0.580392157,270.9677419
570,0.57254902,270.9677419
580,0.57254902,258.0645161
590,0.560784314,270.9677419
600,0.552941176,270.9677419
610,0.541176471,270.9677419
620,0.529411765,270.9677419
630,0.521568627,270.9677419
640,0.521568627,258.0645161
650,0.509803922,270.9677419
660,0.509803922,258.0645161
670,0.501960784,270.9677419
680,0.501960784,258.0645161
690,0.501960784,258.0645161
700,0.501960784,258.0645161
710,0.509803922,245.1612903
720,0.521568627,245.1612903
730,0.529411765,245.1612903
740,0.541176471,245.1612903
750,0.552941176,245.1612903
760,0.552941176,258.0645161
770,0.552941176,258.0645161
780,0.552941176,258.0645161
790,0.552941176,258.0645161
800,0.552941176,258.0645161
810,0.552941176,258.0645161
820,0.552941176,258.0645161
830,0.552941176,258.0645161
840,0.560784314,245.1612903
850,0.57254902,245.1612903
860,0.580392157,245.1612903
870,0.580392157,258.0645161
880,0.592156863,245.1612903
890,0.592156863,258.0645161
900,0.592156863,258.0645161
910,0.592156863,258.0645161
920,0.592156863,258.0645161
930,0.592156863,258.0645161
940,0.580392157,270.9677419
950,0.57254902,270.9677419
960,0.580392157,245.1612903
970,0.580392157,258.0645161
980,0.580392157,258.0645161
990,0.580392157,258.0645161
1000,0.57254902,270.9677419
1010,0.580392157,245.1612903
1020,0.580392157,258.0645161
1030,0.580392157,258.0645161
1040,0.57254902,270.9677419
1050,0.57254902,258.0645161
1060,0.57254902,258.0645161
1070,0.560784314,270.9677419
1080,0.560784314,258.0645161
1090,0.560784314,258.0645161
1100,0.560784314,258.0645161
1110,0.560784314,258.0645161
