Time (Milliseconds),Input (18 C),Temp C
351178,16.41,-13.38
351229,16.41,-13.38
351281,16.41,-11.91
351332,16.41,-12.4
351383,16.41,-11.91
351434,16.41,-11.91
351485,16.41,-12.4
351537,16.41,-11.43
351588,16.41,-11.91
351639,16.41,-12.4
351690,16.41,-11.91
351741,16.41,-11.91
351793,16.41,-12.4
351844,16.41,-12.4
351895,16.41,-11.91
351946,16.41,-12.4
351997,16.41,-11.91
352049,16.41,-11.91
352100,16.41,-11.91
352150,16.41,-12.4
352201,16.41,-12.4
352252,16.41,-12.4
352304,16.41,-12.4
352355,16.41,-12.4
352406,16.41,-12.89
352457,16.41,-12.4
352508,16.41,-12.4
352560,16.41,-12.4
352611,16.41,-12.89
352662,16.41,-12.89
352713,16.41,-13.38
352764,16.41,-12.89
352816,16.41,-12.89
352867,16.41,-12.89
352918,16.41,-12.4
352969,16.41,-12.4
353020,16.41,-11.91
353072,16.41,-12.4
353122,16.41,-11.91
353173,16.41,-11.91
353224,16.41,-11.43
353275,16.41,-10.94
353327,16.41,-10.45
353378,16.41,-9.47
353429,16.41,-9.96
353480,16.41,-9.47
353531,16.41,-10.45
353583,16.41,-10.94
353634,16.41,-10.45
353685,16.41,-9.96
353736,16.41,-8.98
353787,16.41,-8.5
353839,16.41,-8.01
353889,16.41,-8.5
353940,16.41,-8.01
353991,16.41,-7.52
354042,16.41,-8.5
354094,16.41,-7.03
354145,16.41,-7.52
354196,16.41,-7.03
354247,16.41,-7.52
354298,16.41,-7.03
354350,16.41,-7.52
354401,16.41,-7.03
354451,16.41,-7.03
354502,16.41,-7.52
354553,16.41,-7.52
354605,16.41,-7.52
354656,16.41,-6.54
354707,16.41,-7.03
354758,16.41,-6.05
354809,16.41,-6.54
354861,16.41,-6.54
354912,16.41,-7.03
354963,16.41,-6.54
355013,16.41,-6.54
355064,16.41,-6.05
355116,16.41,-7.03
355167,16.41,-6.05
355218,16.41,-6.54
355269,16.41,-6.54
355320,16.41,-7.03
355372,16.41,-6.54
355423,16.41,-6.54
355474,16.41,-6.05
355525,16.41,-6.54
355575,16.41,-6.54
355627,16.41,-6.54
355678,16.41,-6.05
355729,16.41,-6.54
355780,16.41,-6.05
355831,16.41,-6.05
355883,16.41,-6.05
355934,16.41,-6.54
355985,16.41,-6.05
356036,16.41,-6.05
356086,16.41,-6.05
356137,16.41,-6.05
356189,16.41,-6.05
356240,16.41,-6.05
356291,16.41,-5.57
356342,16.41,-6.54
356393,16.41,-5.57
356445,16.41,-6.05
356496,16.41,-6.05
356547,16.41,-6.05
356597,16.41,-6.05
356648,16.41,-6.05
356700,16.41,-6.05
356751,16.41,-5.57
356802,16.41,-6.54
356853,16.41,-6.05
356904,16.41,-6.05
356956,16.41,-5.08
357007,16.41,-6.05
357058,16.41,-6.05
357109,16.41,-6.05
357159,16.41,-6.05
357211,16.41,-6.05
357262,16.41,-5.57
357313,16.41,-5.57
357364,16.41,-6.54
357415,16.41,-5.57
357467,16.41,-5.57
357518,16.41,-5.57
357569,16.41,-5.57
357620,16.41,-5.57
357670,16.41,-5.57
357722,16.41,-5.57
357773,16.41,-5.08
357824,16.41,-5.57
357875,16.41,-5.57
357926,16.41,-5.08
357978,16.41,-5.57
358029,16.41,-5.57
358080,16.41,-5.57
358131,16.41,-5.08
358182,16.41,-5.57
358233,16.41,-5.08
358284,16.41,-5.08
358335,16.41,-5.08
358386,16.41,-5.08
358437,16.41,-5.57
358489,16.41,-5.08
358540,16.41,-5.57
358591,16.41,-6.05
358642,16.41,-5.57
358693,16.41,-5.08
358744,16.41,-5.08
358795,16.41,-5.08
358846,16.41,-5.08
358897,16.41,-5.08
358948,16.41,-5.08
359000,16.41,-5.57
359051,16.41,-5.08
359102,16.41,-5.08
359153,16.41,-5.57
359204,16.41,-5.08
359255,16.41,-5.57
359306,16.41,-5.08
359357,16.41,-5.08
359408,16.41,-5.08
359459,16.41,-4.59
359511,16.41,-5.08
359562,16.41,-5.08
359613,16.41,-4.59
359664,16.41,-5.08
359715,16.41,-4.59
359767,16.41,-4.59
359817,16.41,-4.59
359868,16.41,-5.08
359919,16.41,-5.57
359970,16.41,-5.08
360022,16.41,-5.08
360073,16.41,-5.57
360124,16.41,-5.08
360175,16.41,-5.08
360226,16.41,-5.08
360278,16.41,-4.59
360328,16.41,-4.59
360379,16.41,-4.59
360430,16.41,-5.08
360481,16.41,-4.59
360532,16.41,-5.57
360584,16.41,-4.59
360635,16.41,-4.59
360686,16.41,-4.59
360737,16.41,-5.57
360788,16.41,-5.08
360840,16.41,-5.08
360890,16.41,-4.59
360941,16.41,-5.08
360992,16.41,-5.08
361043,16.41,-5.08
361095,16.41,-5.08
361146,16.41,-5.08
361197,16.41,-4.59
361248,16.41,-4.59
361299,16.41,-5.08
361351,16.41,-5.08
361401,16.41,-4.1
361452,16.41,-4.59
361503,16.41,-4.59
361554,16.41,-5.08
361606,16.41,-4.59
361657,16.41,-5.08
361708,16.41,-4.59
361759,16.41,-4.59
361810,16.41,-5.08
361862,16.41,-5.57
361913,16.41,-5.08
361963,16.41,-5.57
362014,16.41,-5.08
362065,16.41,-4.59
362117,16.41,-5.08
362168,16.41,-4.59
362219,16.41,-5.08
362270,16.41,-5.08
362321,16.41,-5.08
362373,16.41,-5.08
362424,16.41,-6.05
362474,16.41,-5.08
362525,16.41,-5.08
362576,16.41,-5.08
362628,16.41,-5.57
362679,16.41,-5.57
362730,16.41,-5.08
362781,16.41,-5.57
362832,16.41,-5.08
362884,16.41,-5.57
